,,,,,,,,Play,Play,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Tota,Tota,Tota,,,,,,Tota,Tota,Shor,Shor,Shor,Medi,Medi,Medi,Long,Long,Long,,-additional
Rk,Player,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
35,Craig Dawson,571,2024-2025,34,eng ENG,Wolves,eng Premier League,8,571,6.3,6,2,0,0,0,0,0,0,0,0,281,324,86.7,2,15,1,0,13,5400,1811,98,103,95.1,150,159,94.3,24,51,47.1,DF,3e9e06cb
36,Oliver Skipp,401,2024-2025,23,eng ENG,Leicester City,eng Premier League,6,401,4.5,5,1,2,0,0,0,0,0,0,0,142,162,87.7,3,12,4,0,13,2110,621,75,83,90.4,50,53,94.3,9,13,69.2,MF,6250083a
37,Nicolas Jackson,689,2024-2025,23,sn SEN,Chelsea,eng Premier League,9,689,7.7,9,0,0,6,3,9,6,0,0,0,97,131,74.0,10,9,2,0,13,1336,328,54,71,76.1,33,43,76.7,3,5,60.0,FW,9c36ed83
38,Jack Harrison,592,2024-2025,27,eng ENG,Everton,eng Premier League,9,592,6.6,7,2,0,0,0,0,0,0,0,0,113,169,66.9,9,11,7,1,13,1482,506,76,91,83.5,27,42,64.3,3,15,20.0,FW,aa849a12
39,Konstantinos Mavropanos,560,2024-2025,26,gr GRE,West Ham,eng Premier League,8,560,6.2,6,2,1,0,0,0,0,0,0,0,261,315,82.9,0,17,1,1,14,4958,1553,101,111,91.0,134,153,87.6,23,41,56.1,DF,00963611
40,Jacob Greaves,630,2024-2025,23,eng ENG,Ipswich Town,eng Premier League,7,630,7.0,7,0,0,0,0,0,0,0,0,0,277,312,88.8,0,16,0,0,14,4414,1646,144,154,93.5,122,129,94.6,9,23,39.1,DF,1f169636
41,Dan Burn,810,2024-2025,32,eng ENG,Newcastle Utd,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,468,516,90.7,1,4,4,0,14,8195,3198,172,191,90.1,270,279,96.8,21,33,63.6,DF,b2d31e83
42,Ryan Yates,629,2024-2025,26,eng ENG,Nott'ham Forest,eng Premier League,9,629,7.0,5,4,0,1,0,1,1,0,0,0,216,255,84.7,9,13,2,0,14,3035,636,120,129,93.0,68,78,87.2,11,20,55.0,MF,c1fe2a48
43,Wesley Fofana,686,2024-2025,23,fr FRA,Chelsea,eng Premier League,8,686,7.6,8,0,0,0,0,0,0,0,0,0,417,468,89.1,4,30,1,0,15,7206,2152,168,179,93.9,228,248,91.9,19,31,61.3,DF,132a82f1
44,James Tarkowski,810,2024-2025,31,eng ENG,Everton,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,259,329,78.7,5,16,3,0,15,5349,2178,86,98,87.8,130,143,90.9,40,72,55.6,DF,15ea812b
45,Marcus Rashford,629,2024-2025,26,eng ENG,Manchester Utd,eng Premier League,9,629,7.0,8,1,0,1,1,2,1,0,0,0,165,223,74.0,11,10,14,7,15,2307,603,110,132,83.3,37,57,64.9,10,18,55.6,FW,a1d5bd30
46,Axel Tuanzebe,512,2024-2025,26,cd COD,Ipswich Town,eng Premier League,6,512,5.7,6,0,0,0,0,0,0,0,0,0,193,223,86.5,3,16,0,0,16,3034,1106,110,120,91.7,69,82,84.1,12,16,75.0,DF,2baec6ce
47,Leon Bailey,428,2024-2025,26,jm JAM,Aston Villa,eng Premier League,8,428,4.8,6,2,0,0,2,2,0,0,0,0,102,143,71.3,8,5,12,2,16,1554,406,57,70,81.4,37,46,80.4,5,14,35.7,FWMF,3a233281
48,Iliman Ndiaye,655,2024-2025,24,sn SEN,Everton,eng Premier League,9,655,7.3,7,2,0,2,0,2,2,0,0,0,152,186,81.7,5,5,6,2,16,2288,502,88,103,85.4,50,56,89.3,9,12,75.0,FW,5ed97752
49,Sepp van den Berg,552,2024-2025,22,nl NED,Brentford,eng Premier League,7,552,6.1,6,1,1,0,0,0,0,0,0,0,253,308,82.1,2,13,2,1,16,3961,1298,133,156,85.3,105,125,84.0,11,19,57.9,DF,7bf9400b
50,Noni Madueke,618,2024-2025,22,eng ENG,Chelsea,eng Premier League,8,618,6.9,8,0,1,4,0,4,4,0,0,0,148,187,79.1,9,3,7,2,16,2153,438,90,103,87.4,44,55,80.0,5,8,62.5,FW,bf34eebd
51,Nélson Semedo,600,2024-2025,30,pt POR,Wolves,eng Premier League,7,600,6.7,7,0,0,0,2,2,0,0,0,0,223,268,83.2,5,17,3,1,16,3579,1020,116,130,89.2,94,108,87.0,12,24,50.0,DF,d04b94db
52,Antoine Semenyo,787,2024-2025,24,gh GHA,Bournemouth,eng Premier League,9,787,8.7,9,0,0,3,1,4,3,0,0,0,170,238,71.4,10,9,8,2,16,2597,621,101,117,86.3,55,74,74.3,11,25,44.0,FW,efd2ec23
53,Luis Díaz,533,2024-2025,27,co COL,Liverpool,eng Premier League,9,533,5.9,7,2,0,5,2,7,5,0,0,0,176,203,86.7,11,13,8,1,17,2680,574,104,116,89.7,52,60,86.7,14,16,87.5,FW,4a1a9578
54,Justin Kluivert,474,2024-2025,25,nl NED,Bournemouth,eng Premier League,9,474,5.3,6,3,0,1,2,3,0,1,1,0,87,128,68.0,8,5,5,1,17,1457,306,45,62,72.6,34,45,75.6,8,11,72.7,MFFW,4c3a6744
55,John McGinn,427,2024-2025,29,sct SCO,Aston Villa,eng Premier League,7,427,4.7,6,1,0,0,0,0,0,0,0,0,112,142,78.9,3,7,5,0,17,1923,482,46,51,90.2,55,63,87.3,9,18,50.0,MFFW,90f91999
56,Amadou Onana,540,2024-2025,22,be BEL,Aston Villa,eng Premier League,8,540,6.0,8,0,0,2,0,2,2,0,0,0,229,255,89.8,2,21,4,1,18,3518,798,120,127,94.5,90,96,93.8,11,12,91.7,MF,828657ff
57,Ethan Pinnock,810,2024-2025,31,jm JAM,Brentford,eng Premier League,9,810,9.0,9,0,0,2,0,2,2,0,0,0,454,521,87.1,4,23,3,1,18,8654,2908,156,164,95.1,249,275,90.5,47,74,63.5,DF,e541326e
58,Callum Hudson-Odoi,639,2024-2025,23,eng ENG,Nott'ham Forest,eng Premier League,9,639,7.1,7,2,0,1,0,1,1,0,0,0,186,231,80.5,14,5,9,2,19,2761,536,112,124,90.3,56,67,83.6,13,25,52.0,FW,15f3ec41
59,Marc Cucurella,603,2024-2025,26,es ESP,Chelsea,eng Premier League,8,603,6.7,7,1,0,0,0,0,0,0,0,0,336,379,88.7,1,28,1,0,19,5234,1530,170,183,92.9,148,163,90.8,11,22,50.0,DF,1daec722
60,Keane Lewis-Potter,603,2024-2025,23,eng ENG,Brentford,eng Premier League,9,603,6.7,7,2,0,0,1,1,0,0,0,0,135,174,77.6,5,8,8,2,19,2302,455,77,85,90.6,40,49,81.6,15,22,68.2,FWDF,41f08ac8
