,,,,,,,,Play,Play,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Expe,Stan,Stan,Stan,Stan,Stan,Stan,Stan,,-additional
Rk,Player,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
53,Joshua Zirkzee,411,2024-2025,23,nl NED,Manchester Utd,eng Premier League,9,411,4.6,4,5,0,1,1,2,1,0,0,0,2.6,2.6,0.6,3.2,0.3,3.2,-1.6,-1.6,+0.4,0.24,11,0.09,0.17,6,54.5,11.5,0,FW,028e70b9
54,Milos Kerkez,747,2024-2025,20,hu HUN,Bournemouth,eng Premier League,9,747,8.3,9,0,0,0,0,0,0,0,0,0,0.2,0.1,0.3,0.4,0.3,0.4,-0.2,-0.1,-0.3,0.02,7,0.00,,0,0.0,24.4,0,DF,0ad53bdc
55,Jean-Ricner Bellegarde,403,2024-2025,26,fr FRA,Wolves,eng Premier League,8,403,4.5,6,2,1,1,1,2,1,0,0,0,0.3,0.3,0.3,0.6,0.3,0.6,+0.7,+0.7,+0.7,0.06,5,0.20,0.50,2,40.0,21.8,1,MFFW,10f0fdd3
56,Diogo Jota,492,2024-2025,27,pt POR,Liverpool,eng Premier League,7,492,5.5,7,0,1,2,2,4,2,0,0,0,2.7,2.7,0.8,3.5,0.3,3.5,-0.7,-0.7,+1.2,0.19,14,0.14,0.67,3,21.4,11.7,0,FW,178ae8f8
57,Yoane Wissa,404,2024-2025,27,cd COD,Brentford,eng Premier League,6,404,4.5,5,1,0,5,1,6,5,0,0,0,3.9,3.9,0.3,4.2,0.3,4.2,+1.1,+1.1,+0.7,0.30,13,0.38,0.71,7,53.8,11.6,0,FW,2500cef9
58,Ryan Christie,563,2024-2025,29,sct SCO,Bournemouth,eng Premier League,9,563,6.3,7,2,0,1,0,1,1,0,0,0,0.4,0.4,0.3,0.7,0.3,0.7,+0.6,+0.6,-0.3,0.06,6,0.17,0.50,2,33.3,20.9,0,MF,26ce2263
59,Lewis Dunk,705,2024-2025,32,eng ENG,Brighton,eng Premier League,8,705,7.8,8,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.7,0.3,0.7,-0.2,-0.2,-0.4,0.08,3,0.00,,0,0.0,15.2,1,DF,282f75f3
60,Vitaliy Mykolenko,565,2024-2025,25,ua UKR,Everton,eng Premier League,7,565,6.3,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.3,0.2,0.0,0.0,-0.2,0.02,1,0.00,,0,0.0,32.3,0,DF,30d4a2e5
61,Jean-Philippe Mateta,574,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,9,574,6.4,7,2,0,3,0,3,2,1,1,0,1.9,1.1,0.7,2.6,0.3,1.8,+1.1,+0.9,-0.7,0.12,9,0.22,0.67,3,33.3,13.9,0,FW,50e6dc35
62,Sepp van den Berg,552,2024-2025,22,nl NED,Brentford,eng Premier League,7,552,6.1,6,1,1,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.3,0.5,-0.4,-0.4,-0.1,0.08,5,0.00,0.00,3,60.0,11.2,0,DF,7bf9400b
63,Nicolas Jackson,689,2024-2025,23,sn SEN,Chelsea,eng Premier League,9,689,7.7,9,0,0,6,3,9,6,0,0,0,6.0,6.0,1.1,7.2,0.3,7.2,0.0,0.0,+1.9,0.27,22,0.27,0.50,12,54.5,11.5,0,FW,9c36ed83
64,Eddie Nketiah,406,2024-2025,25,eng ENG,2 Teams,eng Premier League,6,406,4.5,5,1,2,0,0,0,0,0,0,0,0.8,0.8,0.4,,0.3,1.2,-0.8,-0.8,-0.4,0.05,15,0.00,0.00,5,33.3,17.1,0,FW,a53649b7
65,Nathan Collins,810,2024-2025,23,ie IRL,Brentford,eng Premier League,9,810,9.0,9,0,0,1,0,1,1,0,0,0,1.8,1.8,0.2,1.9,0.3,1.9,-0.8,-0.8,-0.2,0.20,9,0.11,0.25,4,44.4,8.5,0,DF,a8c19eb8
66,Lisandro Martínez,706,2024-2025,26,ar ARG,Manchester Utd,eng Premier League,8,706,7.8,8,0,1,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,0.3,0.9,-0.8,-0.8,-0.1,0.12,7,0.00,0.00,3,42.9,15.9,0,DF,bac46a10
67,Ryan Yates,629,2024-2025,26,eng ENG,Nott'ham Forest,eng Premier League,9,629,7.0,5,4,0,1,0,1,1,0,0,0,1.2,1.2,0.7,1.8,0.3,1.8,-0.2,-0.2,-0.7,0.08,14,0.07,0.25,4,28.6,18.9,0,MF,c1fe2a48
68,Danny Welbeck,749,2024-2025,33,eng ENG,Brighton,eng Premier League,9,749,8.3,9,0,0,6,1,7,6,0,0,0,4.5,4.5,0.4,4.9,0.3,4.9,+1.5,+1.5,+0.6,0.18,25,0.24,0.55,11,44.0,14.4,3,FW,ce5143da
69,Malo Gusto,600,2024-2025,21,fr FRA,Chelsea,eng Premier League,7,600,6.7,7,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0.3,0.6,-0.5,-0.5,-0.1,0.05,10,0.00,0.00,1,10.0,22.2,0,DF,d56b9520
70,Toti Gomes,585,2024-2025,25,pt POR,Wolves,eng Premier League,7,585,6.5,7,0,0,0,1,1,0,0,0,0,0.0,0.0,0.5,0.5,0.3,0.5,0.0,0.0,+0.5,0.01,1,0.00,,0,0.0,35.4,0,DF,f0caab96
71,James Tarkowski,810,2024-2025,31,eng ENG,Everton,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,0.6,0.6,0.5,1.1,0.4,1.1,-0.6,-0.6,-0.5,0.10,6,0.00,,0,0.0,6.8,0,DF,15ea812b
72,Murillo,810,2024-2025,22,br BRA,Nott'ham Forest,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1.0,0.4,1.0,-0.2,-0.2,-0.8,0.05,5,0.00,0.00,2,40.0,18.8,1,DF,1704b0b8
73,Erling Haaland,809,2024-2025,24,no NOR,Manchester City,eng Premier League,9,809,9.0,9,0,0,11,0,11,10,1,1,0,8.8,8.0,0.5,9.3,0.4,8.5,+2.2,+2.0,-0.5,0.19,42,0.24,0.40,25,59.5,12.2,1,FW,1f44ac21
